ID,Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Segmentation,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Var_1_Cat_1,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
467631,1,1,72,1,3.0,2,2.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
461260,1,0,20,0,1.0,0,3.0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
465974,1,1,52,1,7.0,2,4.0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
459565,1,0,47,1,2.0,0,2.85012285012285,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
464371,1,1,49,1,1.0,0,4.0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
463040,1,1,75,0,1.0,2,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
461549,0,1,68,1,1.0,1,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
463678,0,0,32,0,1.0,0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
465978,1,1,50,1,1.0,1,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
462623,1,0,35,0,1.0,0,1.0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
466342,0,1,49,1,0.0,1,5.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461405,1,0,39,1,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
460078,0,1,39,1,8.0,2,2.0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
463611,1,0,62,1,0.0,0,2.85012285012285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464780,0,0,32,0,1.0,0,9.0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
466284,1,1,46,1,1.0,1,5.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
467405,0,0,37,1,1.0,0,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
459770,0,1,48,1,8.0,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464921,1,1,35,0,0.0,1,5.0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
464099,0,1,43,1,5.0,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
464753,0,0,33,0,1.0,0,5.0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
462741,0,0,26,1,2.0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
465820,0,1,30,1,1.0,1,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
465196,0,0,33,1,3.0,0,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
464993,1,1,57,0,4.0,2,4.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
461282,1,0,21,0,0.0,0,4.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
463245,1,1,37,1,9.0,1,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
461505,0,1,39,0,0.0,2,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
467259,1,1,70,1,1.0,2,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
467442,1,1,56,1,1.0,1,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461242,1,1,52,1,1.0,0,2.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
461890,0,1,45,1,0.0,1,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
465555,0,1,66,0,1.0,2,2.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
459825,1,0,22,0,0.0,0,5.0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
462769,0,1,42,0,6.0,2,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
461390,0,1,70,1,0.0,2,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
459134,0,1,69,1,0.0,2,2.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
467189,0,1,46,1,1.0,2,4.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464932,1,1,53,1,9.0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
464192,0,1,61,0,0.0,2,3.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
459932,0,0,46,1,9.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
466067,1,1,69,1,0.0,1,5.0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
465336,0,0,41,1,9.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
463583,1,1,58,1,9.0,1,4.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
465914,0,0,46,1,3.0,0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464440,1,1,87,1,0.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
461554,1,0,25,1,0.0,0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
464872,1,1,42,1,1.0,0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
466993,0,1,43,1,9.0,1,2.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
466043,0,1,46,1,1.0,1,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
460914,0,0,36,1,9.0,0,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
466942,0,0,29,1,1.0,0,4.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
462208,0,1,33,0,7.0,1,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
465913,0,1,29,1,10.0,0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461803,0,0,33,0,0.0,0,4.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
459603,0,1,89,0,3.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
